file_name,class
n03365231_2651.png,airplane
cifar10-train-32411.png,airplane
n04308273_5668.png,airplane
n02686121_2618.png,airplane
cifar10-train-24713.png,airplane
n03596543_5074.png,airplane
cifar10-train-25969.png,airplane
cifar10-train-10713.png,airplane
n03596543_8968.png,airplane
n03365231_5161.png,airplane
n03595860_15658.png,airplane
n04583620_10566.png,airplane
n02686121_359.png,airplane
n03596543_845.png,airplane
n03604311_5117.png,airplane
cifar10-train-36693.png,airplane
n04308397_4346.png,airplane
n03577672_19694.png,airplane
n03596543_7687.png,airplane
n02686121_359.png,airplane
n02704645_5420.png,airplane
n02686121_10330.png,airplane
n02842573_6582.png,airplane
n02842573_8419.png,airplane
n04160586_11549.png,airplane
n02686121_2630.png,airplane
n02842573_2571.png,airplane
cifar10-train-11218.png,airplane
n02686121_2654.png,airplane
n03335030_15401.png,airplane
n02842573_75.png,airplane
n04012482_5804.png,airplane
n02686121_1899.png,airplane
n03595860_7591.png,airplane
cifar10-train-4081.png,airplane
n03595860_18148.png,airplane
n02867715_10883.png,airplane
cifar10-train-14712.png,airplane
n03596543_9540.png,airplane
n04222723_424.png,airplane
n03596543_8057.png,airplane
cifar10-train-15541.png,airplane
n04308397_4250.png,airplane
n04308273_1110.png,airplane
cifar10-train-45594.png,airplane
n04503499_6553.png,airplane
n04583620_9778.png,airplane
n02842573_4720.png,airplane
n04012482_13909.png,airplane
cifar10-train-13326.png,airplane
cifar10-train-46763.png,airplane
n04160586_2755.png,airplane
n02690373_4578.png,airplane
n03335030_18403.png,airplane
n04160586_16123.png,airplane
n03321419_15896.png,airplane
n04160586_9135.png,airplane
n02686121_184.png,airplane
n02867715_3646.png,airplane
n04222723_662.png,airplane
n03365231_6050.png,airplane
n03798610_2115.png,airplane
n02686121_419.png,airplane
n02867715_14039.png,airplane
cifar10-train-23528.png,airplane
cifar10-train-19740.png,airplane
n02691156_1079.png,airplane
cifar10-train-38198.png,airplane
n02704645_14466.png,airplane
n04583620_8512.png,airplane
cifar10-train-25789.png,airplane
cifar10-train-26427.png,airplane
cifar10-train-27176.png,airplane
n03335030_13229.png,airplane
n02690373_7698.png,airplane
cifar10-train-26178.png,airplane
n04503499_1286.png,airplane
cifar10-train-21297.png,airplane
cifar10-train-44805.png,airplane
cifar10-train-13714.png,airplane
cifar10-train-33558.png,airplane
n04012084_5096.png,airplane
n03604311_6977.png,airplane
cifar10-train-29888.png,airplane
n04583620_6397.png,airplane
n02704645_9401.png,airplane
n02867715_6865.png,airplane
n04308273_1123.png,airplane
cifar10-train-10713.png,airplane
n04308397_1511.png,airplane
n04222723_5788.png,airplane
n03596543_8044.png,airplane
n04222723_3708.png,airplane
n02686121_5131.png,airplane
cifar10-train-11514.png,airplane
cifar10-train-8553.png,airplane
n03373611_12003.png,airplane
n04160586_16301.png,airplane
n03596543_9471.png,airplane
n03577672_83.png,airplane
cifar10-train-23776.png,airplane
n03604311_7103.png,airplane
n03798610_2186.png,airplane
n03577672_16842.png,airplane
n04308273_2614.png,airplane
n04222723_8439.png,airplane
cifar10-train-49498.png,airplane
n04160586_3281.png,airplane
n02686121_312.png,airplane
cifar10-train-7792.png,airplane
n04012084_3356.png,airplane
n02691156_808.png,airplane
cifar10-train-32718.png,airplane
n02867715_7444.png,airplane
n03798610_1006.png,airplane
n03335030_12115.png,airplane
n03798610_731.png,airplane
cifar10-train-43727.png,airplane
n03595860_3307.png,airplane
n04583620_9218.png,airplane
n04012482_4583.png,airplane
n03604311_6386.png,airplane
n04308397_3398.png,airplane
cifar10-train-10010.png,airplane
n04308397_2733.png,airplane
n03809312_4207.png,airplane
n03596543_3255.png,airplane
n04222723_6701.png,airplane
n03373611_6423.png,airplane
n04160586_5115.png,airplane
n02691156_32340.png,airplane
n03577672_10816.png,airplane
n04308273_658.png,airplane
n02704645_13590.png,airplane
n02690373_5181.png,airplane
n03595860_4434.png,airplane
n02686121_3414.png,airplane
n02691156_11800.png,airplane
n04012084_3259.png,airplane
n03577672_9221.png,airplane
cifar10-train-10334.png,airplane
cifar10-train-30280.png,airplane
n03577672_5024.png,airplane
n02691156_6044.png,airplane
n03335030_25853.png,airplane
n03595860_8784.png,airplane
n02690373_3628.png,airplane
n04160586_12128.png,airplane
n03365231_1676.png,airplane
n03365231_4666.png,airplane
n02867715_8122.png,airplane
n02690373_20011.png,airplane
n02691156_1720.png,airplane
n04230487_759.png,airplane
n03798610_1161.png,airplane
n04583620_6631.png,airplane
n02842573_2079.png,airplane
cifar10-train-3674.png,airplane
n03335030_6820.png,airplane
n04012084_4183.png,airplane
n02842573_9657.png,airplane
n02842573_5064.png,airplane
n03596543_6739.png,airplane
n03783873_5263.png,airplane
n03809312_427.png,airplane
n02686121_3513.png,airplane
n04308273_3144.png,airplane
cifar10-train-49856.png,airplane
n03577672_7827.png,airplane
n04160586_3748.png,airplane
n02690373_6831.png,airplane
n04012084_6811.png,airplane
n03595860_8184.png,airplane
n02704645_207.png,airplane
n03596543_208.png,airplane
n04308273_4637.png,airplane
n04503499_5728.png,airplane
n03321419_22607.png,airplane
n03365231_1804.png,airplane
n03595860_2103.png,airplane
cifar10-train-35758.png,airplane
cifar10-train-527.png,airplane
n04583620_4686.png,airplane
cifar10-train-7490.png,airplane
n03577672_4513.png,airplane
n04308397_4330.png,airplane
n02842573_10357.png,airplane
n02691156_10476.png,airplane
n02704645_4823.png,airplane
cifar10-train-20393.png,airplane
n03595860_14136.png,airplane
n03215191_1506.png,airplane
n04583620_9879.png,airplane
n02842573_3236.png,airplane
n02686121_2911.png,airplane
n02704645_7723.png,airplane
n04583620_4524.png,airplane
cifar10-train-26416.png,airplane
cifar10-train-4470.png,airplane
n03809312_1889.png,airplane
n03798610_1235.png,airplane
cifar10-train-34748.png,airplane
n03595860_15658.png,airplane
n04160586_7547.png,airplane
n03365231_5397.png,airplane
n03335030_9800.png,airplane
n02686121_2631.png,airplane
n04222723_8314.png,airplane
n03174079_7758.png,airplane
n03595860_18875.png,airplane
n04012084_4959.png,airplane
n03373611_308.png,airplane
n03604311_509.png,airplane
n03809312_4734.png,airplane
cifar10-train-24791.png,airplane
n02686121_3071.png,airplane
n03577672_396.png,airplane
n02691156_3213.png,airplane
cifar10-train-24622.png,airplane
n03596543_5646.png,airplane
cifar10-train-18451.png,airplane
n03604311_3595.png,airplane
n04308397_1836.png,airplane
n02867715_3517.png,airplane
n03365231_4836.png,airplane
n04308273_1978.png,airplane
cifar10-train-30604.png,airplane
n03365231_3423.png,airplane
n04222723_1798.png,airplane
n02690373_3465.png,airplane
n03604311_1291.png,airplane
n04308397_5187.png,airplane
n03798610_1169.png,airplane
n03373611_4890.png,airplane
n04160586_17815.png,airplane
